time,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,gripper_position_left,gripper_position_right
1752586294.0839198,0.36714237928390503,-22.000089645385742,-1.345357894897461,22.09757423400879,1.1434168815612793,2.5007684230804443,-0.13899576663970947,,
1752586294.1182632,0.34333866834640503,-22.027860641479492,-1.373128890991211,22.09757423400879,1.1168665885925293,2.4943597316741943,-0.09962808340787888,,
1752586294.1523423,0.36714237928390503,-22.027860641479492,-1.321554183959961,22.06980323791504,1.1241908073425293,2.5007684230804443,-0.10603677481412888,0.02591797709465027,0.02591797709465027
1752586294.1861358,0.36714237928390503,-22.000089645385742,-1.373128890991211,22.09757423400879,1.1305994987487793,2.5071771144866943,-0.13899576663970947,0.02591797709465027,0.02591797709465027
1752586294.220403,0.36714237928390503,-21.976285934448242,-1.345357894897461,22.06980323791504,1.1104578971862793,2.5135858058929443,-0.09962808340787888,0.02591797709465027,0.02591797709465027
1752586294.2543411,0.39491337537765503,-22.000089645385742,-1.293783187866211,22.06980323791504,1.1241908073425293,2.5007684230804443,-0.17744791507720947,0.02591797709465027,0.02591797709465027
1752586294.287965,0.39491337537765503,-22.000089645385742,-1.345357894897461,22.02219581604004,1.1241908073425293,2.5199944972991943,-0.07307779043912888,0.02591797709465027,0.02591797709465027
1752586294.32221,0.39491337537765503,-22.000089645385742,-1.321554183959961,22.02219581604004,1.1305994987487793,2.5264031887054443,-0.09321939200162888,0.02591797709465027,0.02591797709465027
1752586294.356152,0.36714237928390503,-21.976285934448242,-1.293783187866211,22.06980323791504,1.1305994987487793,2.5264031887054443,-0.10603677481412888,0.02591797709465027,0.02591797709465027
1752586294.3904562,0.39491337537765503,-22.027860641479492,-1.345357894897461,22.09757423400879,1.1305994987487793,2.5328118801116943,-0.12526285648345947,0.02591797709465027,0.02591797709465027
1752586294.4242132,0.31953495740890503,-22.027860641479492,-1.321554183959961,22.06980323791504,1.1104578971862793,2.5401360988616943,-0.11244546622037888,0.02591797709465027,0.02591797709465027
1752586294.4580317,0.34333866834640503,-22.027860641479492,-1.293783187866211,22.06980323791504,1.1241908073425293,2.5465447902679443,-0.053851716220378876,0.02591797709465027,0.02591797709465027
1752586294.492051,0.36714237928390503,-21.976285934448242,-1.345357894897461,22.04599952697754,1.1241908073425293,2.5465447902679443,-0.11885415762662888,0.02591797709465027,0.02591797709465027
1752586294.526261,0.39491337537765503,-22.000089645385742,-1.293783187866211,22.04599952697754,1.1370081901550293,2.5328118801116943,-0.14540445804595947,0.02591797709465027,0.02591797709465027
1752586294.5604227,0.39491337537765503,-22.027860641479492,-1.321554183959961,22.09757423400879,1.1370081901550293,2.5529534816741943,-0.13899576663970947,0.02591797709465027,0.02591797709465027
1752586294.594479,0.34333866834640503,-21.718412399291992,-1.321554183959961,22.29990577697754,1.1040492057800293,2.5593621730804443,-0.12526285648345947,0.02591797709465027,0.02591797709465027
1752586294.6282024,0.39491337537765503,-21.234403610229492,-1.269979476928711,22.93070411682129,1.0646815299987793,2.5657708644866943,-0.09962808340787888,0.02591797709465027,0.02591797709465027
1752586294.6620257,0.31953495740890503,-20.798002243041992,-1.293783187866211,22.70456886291504,0.9786219000816345,2.5529534816741943,-0.07307779043912888,0.02591797709465027,0.02591797709465027
1752586294.6961114,0.26796025037765503,-20.722623825073242,-1.242208480834961,22.72837257385254,0.8852381110191345,2.5593621730804443,-0.047443024814128876,0.02591797709465027,0.02591797709465027
1752586294.7298672,0.21638554334640503,-20.750394821166992,-1.218404769897461,22.77994728088379,0.8129114508628845,2.5529534816741943,-0.060260407626628876,0.02591797709465027,0.02591797709465027
1752586294.7643588,0.16877812147140503,-20.698820114135742,-1.190633773803711,22.87912940979004,0.7735437750816345,2.5465447902679443,-0.0016666576266288757,0.02591797709465027,0.02591797709465027
1752586294.7982786,0.21638554334640503,-20.825773239135742,-1.139059066772461,22.90690040588379,0.7332605719566345,2.5328118801116943,-0.0016666576266288757,0.02591797709465027,0.02591797709465027
1752586294.8321717,0.31953495740890503,-20.722623825073242,-1.087484359741211,22.93070411682129,0.7469934821128845,2.5401360988616943,-0.053851716220378876,0.02591797709465027,0.02591797709465027
1752586294.8662684,0.771805465221405,-20.774198532104492,-0.9843349456787109,22.87912940979004,0.7927698493003845,2.5071771144866943,-0.008075349032878876,0.02591797709465027,0.02591797709465027
1752586294.8998957,0.922562301158905,-20.825773239135742,-0.7502651214599609,22.80375099182129,0.9584802985191345,2.4687249660491943,0.057842619717121124,0.02591797709465027,0.02591797709465027
1752586294.9340558,0.771805465221405,-21.389127731323242,-0.8296108245849609,22.39908790588379,1.1837000846862793,2.3844964504241943,0.08347738534212112,0.02591797709465027,0.02591797709465027
1752586294.9680033,0.744034469127655,-21.746183395385742,-0.8534145355224609,22.32370948791504,1.2230677604675293,2.3204095363616943,0.08988607674837112,0.02591797709465027,0.02591797709465027
1752586295.0021908,0.720230758190155,-22.079435348510742,-0.6986904144287109,22.22452735900879,1.2697596549987793,2.1849114894866943,0.18143880367279053,0.02591797709465027,0.02591797709465027
1752586295.0358343,0.668656051158905,-22.027860641479492,-0.8811855316162109,22.14518165588379,1.2432093620300293,2.1006829738616943,0.12284506112337112,0.02591797709465027,0.02591797709465027
1752586295.0714598,0.668656051158905,-21.976285934448242,-0.7502651214599609,21.97062110900879,1.2230677604675293,1.9844110012054443,0.11643636971712112,0.02591797709465027,0.02591797709465027
1752586295.105271,0.569473922252655,-22.051664352416992,-0.8296108245849609,21.99442481994629,1.2102503776550293,1.9523675441741943,0.12284506112337112,0.02591797709465027,0.02591797709465027
1752586295.139158,0.696427047252655,-21.797758102416992,-0.7224941253662109,21.86747169494629,1.2029261589050293,1.9203240871429443,0.18784749507904053,0.02591797709465027,0.02591797709465027
1752586295.173006,0.696427047252655,-21.797758102416992,-0.6193447113037109,21.94285011291504,1.1901087760925293,1.9523675441741943,0.18784749507904053,0.02591797709465027,0.02591797709465027
1752586295.2070947,0.545670211315155,-21.694608688354492,-1.008138656616211,22.06980323791504,1.1699671745300293,1.9972283840179443,0.15580403804779053,0.02591797709465027,0.02591797709465027
1752586295.2409072,0.720230758190155,-21.619230270385742,-0.8296108245849609,22.09757423400879,1.1434168815612793,1.9844110012054443,0.15580403804779053,0.02591797709465027,0.02591797709465027
1752586295.2751927,0.644852340221405,-21.182828903198242,-0.9565639495849609,22.45066261291504,1.1763758659362793,1.9780023097991943,0.14939534664154053,0.02591797709465027,0.02591797709465027
1752586295.3087146,0.668656051158905,-20.671049118041992,-0.9843349456787109,22.85532569885254,1.1763758659362793,2.0036370754241943,0.16862142086029053,0.02591797709465027,0.02591797709465027
1752586295.3433115,0.41871708631515503,-20.262418746948242,-1.242208480834961,22.70456886291504,1.1901087760925293,2.0356805324554443,0.17503011226654053,0.02591797709465027,0.02591797709465027
1752586295.376556,0.31953495740890503,-20.365568161010742,-1.424703598022461,22.72837257385254,1.2496180534362793,2.0622308254241943,0.14207112789154053,0.02591797709465027,0.02591797709465027
1752586295.410198,0.771805465221405,-20.567899703979492,-0.8018398284912109,22.95847511291504,1.1305994987487793,2.0942742824554443,0.15580403804779053,0.02591797709465027,0.02591797709465027
1752586295.444168,0.720230758190155,-20.520292282104492,-0.8811855316162109,23.03385353088379,1.2102503776550293,2.1391351222991943,0.20158040523529053,0.02591797709465027,0.02591797709465027
1752586295.478054,0.795609176158905,-20.417142868041992,-0.8018398284912109,22.90690040588379,1.1837000846862793,2.1913201808929443,0.22080647945404053,0.02591797709465027,0.02591797709465027
1752586295.5120378,0.668656051158905,-20.389371871948242,-0.9327602386474609,23.00608253479004,1.2029261589050293,2.2041375637054443,0.18784749507904053,0.02591797709465027,0.02591797709465027
1752586295.545998,0.744034469127655,-20.365568161010742,-0.8811855316162109,23.00608253479004,1.2166590690612793,2.2297723293304443,0.16221272945404053,0.02591797709465027,0.02591797709465027
1752586295.5803344,0.593277633190155,-20.468717575073242,-0.9843349456787109,23.03385353088379,1.2166590690612793,2.2489984035491943,0.17503011226654053,0.02591797709465027,0.02591797709465027
1752586295.6139712,0.49409550428390503,-20.417142868041992,-1.111288070678711,23.08542823791504,1.2166590690612793,2.2297723293304443,0.13566243648529053,0.02591797709465027,0.02591797709465027
1752586295.6478796,0.644852340221405,-20.365568161010742,-1.008138656616211,23.05765724182129,1.2166590690612793,2.2489984035491943,0.15580403804779053,0.02591797709465027,0.02591797709465027
1752586295.6818242,0.668656051158905,-20.262418746948242,-1.008138656616211,23.05765724182129,1.2102503776550293,2.2361810207366943,0.21439778804779053,0.02591797709465027,0.02591797709465027
1752586295.7161965,0.668656051158905,-20.262418746948242,-0.9049892425537109,23.03385353088379,1.2102503776550293,2.2361810207366943,0.16862142086029053,0.02591797709465027,0.02591797709465027
1752586295.750054,0.720230758190155,-20.290189743041992,-0.8811855316162109,23.03385353088379,1.2230677604675293,2.2233636379241943,0.14939534664154053,0.02591797709465027,0.02591797709465027
1752586295.784243,0.696427047252655,-20.313993453979492,-0.8811855316162109,23.05765724182129,1.2166590690612793,2.2105462551116943,0.16862142086029053,0.02591797709465027,0.02591797709465027
1752586295.8179965,0.668656051158905,-20.290189743041992,-0.9049892425537109,23.00608253479004,1.2166590690612793,2.2105462551116943,0.20798909664154053,0.02591797709465027,0.02591797709465027
1752586295.8518255,0.644852340221405,-20.337797164916992,-0.9327602386474609,23.10923194885254,1.2166590690612793,2.1977288722991943,0.16221272945404053,0.02591797709465027,0.02591797709465027
1752586295.8860114,0.621048629283905,-20.083890914916992,-0.9565639495849609,23.10923194885254,1.1901087760925293,2.2105462551116943,0.14939534664154053,0.02591797709465027,0.02591797709465027
1752586295.920297,0.644852340221405,-20.083890914916992,-0.9565639495849609,23.10923194885254,1.1837000846862793,2.2169549465179443,0.17503011226654053,0.02591797709465027,0.02591797709465027
1752586295.9541194,0.696427047252655,-20.111661911010742,-0.8534145355224609,23.05765724182129,1.1699671745300293,2.2425897121429443,0.15580403804779053,0.02591797709465027,0.02591797709465027
1752586295.9880493,0.668656051158905,-20.290189743041992,-0.8018398284912109,23.03385353088379,1.2166590690612793,2.2361810207366943,0.13566243648529053,0.02591797709465027,0.02591797709465027
1752586296.0219922,0.744034469127655,-20.440946578979492,-0.8534145355224609,23.05765724182129,1.2166590690612793,2.2489984035491943,0.17503011226654053,0.02591797709465027,0.02591797709465027
1752586296.056057,0.720230758190155,-20.468717575073242,-0.9565639495849609,23.08542823791504,1.2432093620300293,2.2554070949554443,0.20158040523529053,0.02591797709465027,0.02591797709465027
1752586296.0901446,0.720230758190155,-20.313993453979492,-0.9843349456787109,23.08542823791504,1.2230677604675293,2.2489984035491943,0.18784749507904053,0.02591797709465027,0.02591797709465027
1752586296.1239483,0.644852340221405,-20.187040328979492,-1.035909652709961,23.10923194885254,1.2368006706237793,2.2297723293304443,0.19517171382904053,0.02591797709465027,0.02591797709465027
1752586296.1583447,0.593277633190155,-20.060087203979492,-1.111288070678711,23.03385353088379,1.2294764518737793,2.2297723293304443,0.13566243648529053,0.02591797709465027,0.02591797709465027
1752586296.1918552,0.696427047252655,-20.135465621948242,-0.9843349456787109,23.05765724182129,1.2432093620300293,2.2105462551116943,0.14207112789154053,0.02591797709465027,0.02591797709465027
1752586296.2262187,0.644852340221405,-20.290189743041992,-0.9327602386474609,23.10923194885254,1.2230677604675293,2.1913201808929443,0.16221272945404053,0.02591797709465027,0.02591797709465027
